address,action1,time1,action2,time2,interval_min,volume1,volume2
0xdb90e2723e998cf3072d1efbbcdaab4e24d8c640,sell,2026-05-27 21:51:35,buy,2026-05-27 21:51:35,0.0,1976.0,10000000.0
0xdb90e2723e998cf3072d1efbbcdaab4e24d8c640,buy,2026-05-27 21:51:35,sell,2026-05-27 22:29:23,37.8,10000000.0,286148.83
0xdb90e2723e998cf3072d1efbbcdaab4e24d8c640,sell,2026-05-28 03:54:11,buy,2026-05-28 04:29:35,35.4,2078008.37,13680646.5
0xdb90e2723e998cf3072d1efbbcdaab4e24d8c640,buy,2026-05-28 04:29:35,sell,2026-05-28 04:54:23,24.8,13680646.5,59008.63
0xdb90e2723e998cf3072d1efbbcdaab4e24d8c640,sell,2026-05-28 05:01:47,buy,2026-05-28 05:18:59,17.2,4665113.01,8407375.03
0x3a23f943181408eac424116af7b7790c94cb97a5,sell,2026-05-27 12:22:23,buy,2026-05-27 12:22:23,0.0,991250.0,991250.0
0x1e86f4234246b91b7c1c0741b4cdf8e09333b714,buy,2026-05-27 16:22:35,sell,2026-05-27 16:34:23,11.8,2359701189.0,2359701189.0
0xbeb4dc79a3351f4e707bff53dcb42d36cf764b02,sell,2026-05-27 17:19:23,buy,2026-05-27 17:20:11,0.8,672316658.21,6.72
0xbeb4dc79a3351f4e707bff53dcb42d36cf764b02,buy,2026-05-27 17:20:11,sell,2026-05-27 17:58:23,38.2,6.72,0.0
0xbeb4dc79a3351f4e707bff53dcb42d36cf764b02,sell,2026-05-28 05:26:59,buy,2026-05-28 05:27:35,0.6,986262734.16,9.86
0xbeb4dc79a3351f4e707bff53dcb42d36cf764b02,buy,2026-05-28 05:27:35,sell,2026-05-28 05:33:11,5.6,9.86,0.0
0xa46477fc14e854170fce7cd548397f431b1b0fd3,buy,2026-05-27 12:19:59,sell,2026-05-27 12:21:11,1.2,6584612488.28,1570000930.0
0xa46477fc14e854170fce7cd548397f431b1b0fd3,sell,2026-05-27 12:21:11,buy,2026-05-27 12:22:59,1.8,1570000930.0,5240000250.0
0xa46477fc14e854170fce7cd548397f431b1b0fd3,buy,2026-05-27 12:22:59,sell,2026-05-27 12:35:35,12.6,5240000250.0,11824612738.28
0xa46477fc14e854170fce7cd548397f431b1b0fd3,buy,2026-05-27 21:59:59,sell,2026-05-27 22:16:11,16.2,8995169853.72,8995169853.72
0x87cfedf386d06b18bb2e0ff34cad547b719ab592,buy,2026-05-28 01:51:35,sell,2026-05-28 02:12:35,21.0,10000000005.07,10000000005.07
0xa9c61fe59b5702b1d382fd1d5e495887ff34c21d,buy,2026-05-27 15:22:23,sell,2026-05-27 15:32:47,10.4,1397038278.85,1397038278.85
0xa9c61fe59b5702b1d382fd1d5e495887ff34c21d,sell,2026-05-27 15:32:47,buy,2026-05-27 15:35:47,3.0,1397038278.85,1390047261.61
0xa9c61fe59b5702b1d382fd1d5e495887ff34c21d,buy,2026-05-27 15:35:47,sell,2026-05-27 15:42:59,7.2,1390047261.61,1390047261.61
0xa9c61fe59b5702b1d382fd1d5e495887ff34c21d,buy,2026-05-28 03:24:23,sell,2026-05-28 03:30:11,5.8,1460493630.85,1460493630.85
0xd529b2edc0f07b3f5c1f4bfe779d12db7eecb359,buy,2026-05-27 12:41:47,sell,2026-05-27 12:52:35,10.8,51513991.75,54990363.68
