voter,vp,choice,proposal_id
0xc5547B4907418C2EC0C2A95beC6fEE8354657759,1001.0001,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x5bB73e04b810527B14b87c37EFf3d62481f2D416,939.3650432,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x66Bcec4EcB3d1478fe813a0f55c4604C7ef24808,886.5379719,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x7AE109A63ff4DC852e063a673b40BED85D22E585,516.8713807,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x11069c08DD30aa4C17D73b0E3984A433a0e39Fda,402.9256172,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xe8BbE391340E0a3bf1aC13166c41266b65598CE9,400.0001,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x1D5460F896521aD685Ea4c3F2c679Ec0b6806359,388.9865375,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x391cB9b2136b0821ef0c1aF3B4B5fA92900f3f2A,225.0001,2,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x2F2F665974261C4129b1DC6c359BD259CD66f78A,132.9472221,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xb3313b023e68CdA95d7B625200e1B0fE6335A0c2,129.8581558,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xD589a999B7F71365939bC2a96249e2B9ea315685,100.58039,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xa8293Dd8eb52564a35b8357a539146321b934153,78.29620553,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x7Bb9dCcc97052dDeF05141897fE8313fD4ad0418,44.71183828,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xa62DB7185896111d0Fa25C89124A41Bfdfb047d9,40,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xF51754D95C0B9Bb416AB4915E9f10B04d04d29e5,30.22959864,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xFffd05AE9Db4d5F4e23e2F37395db2F87359bf5d,20.51530006,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x3DDC7d25c7a1dc381443e491Bbf1Caa8928A05B0,15.22783762,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xb2010b3B9e1d60933df001a30bC2A8fc523B2241,15.12995387,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xE0E216283eef00895b6ABAa73848448596B85724,13.56962132,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x1A9aB967c5672622c55023eA2fcb892e60DA2E4a,10.71757575,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x534631Bcf33BDb069fB20A93d2fdb9e4D4dD42CF,10.0001,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x2CbD292A53a7cd3aF3edc888B81ca8Ab9C822c43,10,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x37B463feAE69D547F7d9Cc3Ff4BcB309928BD54d,9.085556974,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xB3a1581B786d724d34377D2A90C6f239887d1908,8.832810945,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xc82b3Bc3cbC25c53008Ff7019f6Db0A92c84d5C4,8.775739732,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x4Dd7fc3A3B6457D1e67E3b046b2b0d2dCF25257D,6.710911928,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x168F87fBfe36B84E44B9d06278B2aA1CC73d7400,6.675447025,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xEab804590011d0650FcB6c4Da1870C6e9ca062D1,6.375741599,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xF132ea4610d4F278D611E1a177aca5280F89fB99,5.797693131,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x4770F67Db9D09Ca7347C1fCcBf3795A464065eCB,4.52676322,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xAa30037cDD4Aa927A3B4df9065E662EBD73A2F53,3.948968967,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x1962698253Fc939D73125D59603849b284ce9811,3.77934184,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x019Ed608dD806b80193942F2A960e7AC8aBb2EE3,3.598301231,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x7822e17509A2B302C8483F38F6F69967c36bB656,3.561416787,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x11A7DCF5beb6c04e6aE72c74870c6ca3F0D1AFd9,3.506006581,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x870d47E8db71739B4797C46b5d8778370cb744D1,3.145537047,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x87Ac0EE9Bd892e17B32Daeeba845bFb64C26873F,3.13258052,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x0940E77c7A784c65A9726b7a4E6852C7e05276cC,3.059515187,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x8D1AADe42646B715470B20485e7Abe43ee35C1B9,2.922309934,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x1056e5C3d42d582B3DaCf27336b16D63999b8A26,2.681205327,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x17296956b4E07Ff8931E4ff4eA06709FaB70b879,2.47845,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xEC66352D727Ed6dC705F949f9641603617cAAe81,2.268728206,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x0057Be07BEEF5D9B4Beb9e2d147906e83d1915C8,1.832892448,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x4fC53CDFB93FA69058529AA2CAa174581E7Fb541,1.50032128,2,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
